date,price
2017-03-06,70.15525925925925
2017-03-07,69.91385623434188
2017-03-08,70.18181818181819
2017-03-09,71.9808351825701
2017-03-10,79.34920634920636
2017-03-11,80.19371727748691
2017-03-12,71.15339883697614
2017-03-13,70.30597143348821
2017-03-14,70.88898191560617
2017-03-15,70.93142375737152
2017-03-16,71.60212727600505
2017-03-17,78.2723460604723
2017-03-18,77.98321234119783
2017-03-19,72.33850220264317
2017-03-20,71.73048646957609
2017-03-21,71.2496977025393
2017-03-22,71.23980374118369
2017-03-23,71.2489368662087
2017-03-24,77.3861309638787
2017-03-25,78.10403354632588
2017-03-26,71.8286130441819
2017-03-27,70.96782362580069
2017-03-28,70.70985135529
2017-03-29,70.69443631039532
2017-03-30,71.23839532739011
2017-03-31,75.95019954884609
2017-04-01,75.1867242309768
2017-04-02,71.00739575137686
2017-04-03,71.6040786598689
2017-04-04,71.382714305889
2017-04-05,71.56889763779527
2017-04-06,71.39216840865598
2017-04-07,76.21459996741079
2017-04-08,75.0593832599119
2017-04-09,70.76150487067518
2017-04-10,72.04245047444648
2017-04-11,72.36374020887729
2017-04-12,73.97449755108934
2017-04-13,75.11946988891054
2017-04-14,76.80663329161452
2017-04-15,77.84232698094283
2017-04-16,75.35563858695652
2017-04-17,72.9982407271661
2017-04-18,70.68495475113122
2017-04-19,70.74924558126168
2017-04-20,70.19218942189421
2017-04-21,71.81149756712921
2017-04-22,69.91875240662303
2017-04-23,68.60746548491564
2017-04-24,69.85208909593827
2017-04-25,70.97829647829649
2017-04-26,71.66173275393808
2017-04-27,72.39932365788361
2017-04-28,76.22423664122137
2017-04-29,74.42697594501718
2017-04-30,71.62894906511927
2017-05-01,75.32555299226489
2017-05-02,74.32326866246949
2017-05-03,72.20541220893644
2017-05-04,71.88854368932039
2017-05-05,75.69993098688751
2017-05-06,74.99677374105765
2017-05-07,71.26250992851469
2017-05-08,71.01953025274445
2017-05-09,71.00680615074363
2017-05-10,70.85151515151514
2017-05-11,70.88783096387114
2017-05-12,75.26530039303762
2017-05-13,74.46690391459074
2017-05-14,71.23155416012558
2017-05-15,71.75046717329015
2017-05-16,71.50544209367739
2017-05-17,71.53556126820908
2017-05-18,71.44414033341627
2017-05-19,75.67618800311607
2017-05-20,75.59779903052535
2017-05-21,71.47069072806471
2017-05-22,71.14397362315302
2017-05-23,71.04449591612824
2017-05-24,70.02903104184995
2017-05-25,69.57215953817895
2017-05-26,72.65467418003179
2017-05-27,72.65965219932778
2017-05-28,69.9994950132559
2017-05-29,70.69217789562492
2017-05-30,71.09132797731569
2017-05-31,71.14777635111474
2017-06-01,70.3321046373365
2017-06-02,74.50323866467365
2017-06-03,74.21344880285278
2017-06-04,72.55876852251474
2017-06-05,73.50119142176331
2017-06-06,73.59509600415153
2017-06-07,73.37967018809586
2017-06-08,73.63361453601557
2017-06-09,78.51322115384616
2017-06-10,78.83715046604527
2017-06-11,73.78503593429159
2017-06-12,73.51203975028666
2017-06-13,73.96962736089841
2017-06-14,74.93954918032787
2017-06-15,75.61146824376446
2017-06-16,80.48738397176102
2017-06-17,80.10375391032325
2017-06-18,73.22184257150089
2017-06-19,73.33567222152612
2017-06-20,73.65732515951457
2017-06-21,74.31832061068702
2017-06-22,77.71243418388012
2017-06-23,87.45653117315203
2017-06-24,87.55412100285243
2017-06-25,83.51558784676354
2017-06-26,83.98075672864387
2017-06-27,84.11479289940829
2017-06-28,85.56692913385827
2017-06-29,83.93184653774173
2017-06-30,85.9410659378203
2017-07-01,84.82116168478261
2017-07-02,81.82889265362698
2017-07-03,75.64841881477544
2017-07-04,73.77737454636465
2017-07-05,73.32182182182183
2017-07-06,73.55056906363166
2017-07-07,78.8619344773791
2017-07-08,78.94491854150505
2017-07-09,73.4379973068919
2017-07-10,72.4291385948027
2017-07-11,72.6034276126558
2017-07-12,72.67344995834821
2017-07-13,73.00059545075622
2017-07-14,78.58536585365853
2017-07-15,78.6980026312642
2017-07-16,73.06095102573224
2017-07-17,72.80374274546962
2017-07-18,72.75073694139842
2017-07-19,72.902
2017-07-20,73.26180963572268
2017-07-21,79.05331446095778
2017-07-22,79.27208563698389
2017-07-23,73.28703055749942
2017-07-24,73.13874375943341
2017-07-25,73.1094856612098
2017-07-26,72.86312622931852
2017-07-27,73.16726472971409
2017-07-28,78.74581784386618
2017-07-29,79.05209055209055
2017-07-30,73.56381148950808
2017-07-31,73.22275312855518
2017-08-01,72.86436049157943
2017-08-02,72.93318891802531
2017-08-03,73.30299920173339
2017-08-04,78.60339717282261
2017-08-05,78.83376978253445
2017-08-06,73.13266000907853
2017-08-07,72.92246745897
2017-08-08,72.91382426022138
2017-08-09,72.87131064118512
2017-08-10,73.18546564195299
2017-08-11,79.16169154228855
2017-08-12,79.1576209859792
2017-08-13,73.58488437676255
2017-08-14,73.43323575771223
2017-08-15,73.43932066134293
2017-08-16,73.10752808988764
2017-08-17,73.21745960502693
2017-08-18,78.65741466144377
2017-08-19,78.8375224416517
2017-08-20,73.1331916797137
2017-08-21,72.906836461126
2017-08-22,72.82259321090707
2017-08-23,72.82085413200222
2017-08-24,73.1024531024531
2017-08-25,79.01984919050787
2017-08-26,79.09028317601333
2017-08-27,73.25362720124045
2017-08-28,73.09117061296747
2017-08-29,73.18980764978997
2017-08-30,73.36659316427784
2017-08-31,73.65473032714412
2017-09-01,80.41917960088692
2017-09-02,81.4788880146866
2017-09-03,75.3644847528917
2017-09-04,75.09607506277257
2017-09-05,75.07840021189246
2017-09-06,74.95884773662551
2017-09-07,75.51529726118905
